student_id,city,city_development_index,gender,relevant_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,job_change
440,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,42,False
10792,city_102,0.804,,True,,Graduate,STEM,12,5000-9999,Pvt Ltd,1,182,False
8311,city_114,0.926,Male,True,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,82,False
1695,city_75,0.939,,True,no_enrollment,Graduate,STEM,12,1000-4999,Pvt Ltd,1,42,False
21033,city_103,0.92,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,21,False
10930,city_67,0.855,Male,True,no_enrollment,,,>20,5000-9999,Public Sector,>4,17,False
24355,city_114,0.926,,True,no_enrollment,Phd,STEM,18,1000-4999,Pvt Ltd,4,122,False
18289,city_37,0.794,,False,Full time course,Masters,STEM,15,1000-4999,Pvt Ltd,1,33,False
19215,city_160,0.92,Male,False,no_enrollment,Graduate,Humanities,10,10000+,Pvt Ltd,1,57,False
6448,city_165,0.903,Male,True,Part time course,Graduate,STEM,>20,10000+,Pvt Ltd,>4,6,False
30878,city_91,0.691,Male,False,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,32,False
3708,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,>4,290,False
31798,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,1,8,False
11292,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156,True
27490,city_71,0.884,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,70,False
26674,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,2,6,False
32720,city_145,0.555,Female,True,Part time course,Masters,STEM,>20,10000+,NGO,3,135,True
33126,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,25,False
24091,city_123,0.738,Male,True,no_enrollment,Masters,STEM,13,1000-4999,Public Sector,>4,66,True
32958,city_160,0.92,Female,True,no_enrollment,Graduate,STEM,20,10000+,Pvt Ltd,1,7,False
893,city_114,0.926,Male,True,no_enrollment,High School,,20,1000-4999,Pvt Ltd,>4,90,False
10175,city_103,0.92,,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,20,False
14496,city_114,0.926,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,109,False
22997,city_173,0.878,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,9,False
2991,city_23,0.899,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,never,48,False
9485,city_104,0.924,,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,3,35,False
23609,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,3,18,False
13864,city_102,0.804,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,51,False
26682,city_89,0.925,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,108,False
13277,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,26,False
31014,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,4,62,False
16796,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,54,False
6449,city_160,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,never,8,False
18824,city_114,0.926,Male,False,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,never,52,False
28453,city_16,0.91,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,1,18,False
6304,city_103,0.92,Male,True,Part time course,Graduate,STEM,19,1000-4999,Public Sector,>4,142,False
31368,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,314,False
21276,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,94,False
27419,city_21,0.624,,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,never,17,False
23981,city_160,0.92,,False,no_enrollment,Phd,Humanities,>20,1000-4999,Public Sector,>4,19,False
13345,city_165,0.903,,False,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,>4,92,False
33128,city_173,0.878,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,163,False
10028,city_73,0.754,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,1,42,False
10724,city_21,0.624,,True,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,1,40,False
32631,city_103,0.92,Male,True,no_enrollment,Phd,STEM,>20,1000-4999,Public Sector,>4,5,True
24199,city_16,0.91,Male,False,no_enrollment,Graduate,STEM,20,1000-4999,Pvt Ltd,2,14,False
16990,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,97,True
10933,city_21,0.624,Male,True,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,1,75,False
9052,city_21,0.624,Male,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,85,False
7545,city_165,0.903,,True,no_enrollment,Graduate,Arts,17,1000-4999,,3,47,False
28589,city_103,0.92,,True,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,2,16,False
5710,city_50,0.896,Male,True,no_enrollment,Masters,STEM,13,5000-9999,Public Sector,2,88,False
9930,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,2,121,False
4046,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,24,False
15213,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,13,10000+,Pvt Ltd,1,94,True
32605,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,3,155,False
32802,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,38,False
14793,city_116,0.743,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,3,178,False
31862,city_104,0.924,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,NGO,4,50,False
31370,city_136,0.897,Male,True,no_enrollment,Graduate,Humanities,>20,1000-4999,Pvt Ltd,4,6,False
7739,city_136,0.897,Male,True,no_enrollment,Masters,STEM,10,1000-4999,Pvt Ltd,1,28,False
7155,city_23,0.899,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,>4,20,False
14107,city_28,0.939,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,2,15,False
26261,city_73,0.754,Male,True,no_enrollment,Masters,STEM,15,1000-4999,Public Sector,>4,7,True
21236,city_160,0.92,,False,no_enrollment,Masters,STEM,11,1000-4999,Public Sector,1,98,False
15051,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,116,False
29357,city_103,0.92,Male,True,no_enrollment,Graduate,Humanities,>20,1000-4999,NGO,>4,74,False
29628,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,36,False
27115,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,94,False
27462,city_103,0.92,Male,True,no_enrollment,Graduate,Business Degree,>20,10000+,Pvt Ltd,1,85,False
19290,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,>4,18,False
26351,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,14,5000-9999,Public Sector,>4,28,True
10885,city_104,0.924,Male,True,no_enrollment,Masters,STEM,11,1000-4999,Pvt Ltd,4,31,False
11347,city_75,0.939,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,1,45,False
12794,city_16,0.91,Male,True,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,72,False
17931,city_36,0.893,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,28,True
6278,city_160,0.92,Male,True,no_enrollment,Graduate,No Major,>20,10000+,Public Sector,>4,69,False
19737,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,33,False
3436,city_67,0.855,Male,True,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,12,False
10364,city_114,0.926,,True,no_enrollment,High School,,11,10000+,Other,>4,107,False
5549,city_75,0.939,Male,True,no_enrollment,Graduate,Arts,>20,1000-4999,NGO,>4,172,False
18908,city_114,0.926,Male,False,Full time course,Masters,STEM,10,1000-4999,Public Sector,2,37,False
15178,city_103,0.92,Male,True,no_enrollment,Masters,Humanities,>20,10000+,Pvt Ltd,>4,80,False
31595,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,58,False
10186,city_61,0.913,Male,True,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,3,54,False
12595,city_23,0.899,,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,,39,False
24662,city_98,0.949,Male,True,no_enrollment,Graduate,STEM,12,5000-9999,Pvt Ltd,2,158,False
31529,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,>4,50,False
29811,city_103,0.92,Male,True,no_enrollment,Masters,STEM,18,1000-4999,Pvt Ltd,1,111,False
3126,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,19,1000-4999,Pvt Ltd,1,13,False
27493,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,1000-4999,NGO,2,5,False
9973,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,156,False
13824,city_16,0.91,Male,True,no_enrollment,High School,,17,10000+,Pvt Ltd,>4,22,False
6355,city_152,0.698,Male,True,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,1,146,False
21255,city_99,0.915,Male,True,no_enrollment,High School,,>20,1000-4999,Pvt Ltd,2,26,False
12133,city_160,0.92,Male,True,no_enrollment,Graduate,STEM,18,10000+,Pvt Ltd,2,18,False
14943,city_16,0.91,Male,True,no_enrollment,Masters,STEM,12,1000-4999,Pvt Ltd,>4,36,True
17030,city_16,0.91,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,3,False
2602,city_21,0.624,Male,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,222,False
7451,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,33,True
31553,city_98,0.949,Male,True,no_enrollment,Graduate,STEM,11,1000-4999,,2,64,False
4016,city_103,0.92,,True,no_enrollment,Masters,STEM,>20,5000-9999,Public Sector,2,78,False
26891,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,5000-9999,Pvt Ltd,4,68,False
10615,city_123,0.738,Male,True,no_enrollment,Graduate,STEM,14,1000-4999,Pvt Ltd,2,29,True
17093,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,53,False
33380,city_83,0.923,Male,False,no_enrollment,Graduate,STEM,14,10000+,Pvt Ltd,2,168,False
16969,city_160,0.92,Male,False,no_enrollment,Graduate,No Major,>20,5000-9999,Pvt Ltd,>4,12,False
9203,city_102,0.804,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,43,False
2572,city_104,0.924,Male,True,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,never,95,False
4335,city_103,0.92,Female,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,>4,142,False
31612,city_73,0.754,Male,True,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,2,14,False
15041,city_103,0.92,Other,False,no_enrollment,Graduate,STEM,13,10000+,Public Sector,>4,13,False
4880,city_103,0.92,Male,True,no_enrollment,Masters,STEM,16,10000+,Pvt Ltd,>4,50,False
9264,city_83,0.923,Male,True,no_enrollment,Masters,STEM,18,10000+,Pvt Ltd,4,17,False
22662,city_67,0.855,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,1,107,False
29164,city_103,0.92,Male,True,Part time course,Masters,Business Degree,11,10000+,Public Sector,3,60,False
19711,city_67,0.855,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,138,True
29504,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,55,False
24567,city_16,0.91,Male,False,no_enrollment,Masters,STEM,15,10000+,Pvt Ltd,>4,20,True
27473,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,9,True
15688,city_114,0.926,,True,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,2,9,False
5555,city_103,0.92,Other,True,no_enrollment,Graduate,STEM,20,10000+,Public Sector,1,14,False
18895,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,1000-4999,,2,18,False
8661,city_103,0.92,Male,False,no_enrollment,Masters,STEM,10,10000+,Pvt Ltd,3,3,False
22355,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,11,10000+,Pvt Ltd,>4,17,False
17076,city_103,0.92,,True,no_enrollment,Masters,STEM,11,10000+,Pvt Ltd,1,37,False
7542,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,58,False
12107,city_114,0.926,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,never,16,False
23481,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,10000+,Pvt Ltd,>4,43,True
364,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,23,False
24632,city_160,0.92,,False,no_enrollment,Phd,STEM,>20,5000-9999,Public Sector,>4,19,False
31830,city_61,0.913,Male,True,no_enrollment,Graduate,Other,10,5000-9999,Public Sector,1,7,False
28067,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Public Sector,>4,36,False
18973,city_36,0.893,,True,no_enrollment,High School,,>20,10000+,Pvt Ltd,>4,35,False
2713,city_16,0.91,,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,1,9,False
27986,city_45,0.89,Female,True,no_enrollment,High School,,16,1000-4999,Pvt Ltd,3,48,False
19973,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,10000+,Pvt Ltd,1,48,False
27821,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,7,False
11450,city_114,0.926,Male,False,no_enrollment,Masters,STEM,19,1000-4999,Public Sector,>4,48,False
29675,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,4,138,False
10087,city_103,0.92,Male,False,no_enrollment,Graduate,STEM,17,5000-9999,Pvt Ltd,>4,67,False
20325,city_46,0.762,Male,True,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,>4,15,False
27137,city_21,0.624,Male,False,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,4,24,False
20182,city_100,0.887,Male,False,no_enrollment,Phd,Business Degree,>20,10000+,Public Sector,,14,False
25641,city_21,0.624,Male,True,Part time course,Graduate,STEM,13,10000+,Pvt Ltd,4,154,False
29349,city_103,0.92,Male,True,no_enrollment,Masters,Other,>20,10000+,Pvt Ltd,1,22,False
11160,city_67,0.855,Male,True,no_enrollment,Masters,STEM,16,1000-4999,Pvt Ltd,1,192,False
17419,city_65,0.802,Female,True,Part time course,Graduate,STEM,11,1000-4999,Pvt Ltd,1,174,False
26112,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,>4,143,False
2078,city_100,0.887,Male,True,no_enrollment,Graduate,STEM,15,1000-4999,Pvt Ltd,3,107,True
14417,city_103,0.92,Male,True,no_enrollment,Graduate,Arts,>20,10000+,Pvt Ltd,4,72,False
10937,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Public Sector,>4,33,False
31239,city_114,0.926,,True,Part time course,Graduate,STEM,19,10000+,Pvt Ltd,>4,41,False
11911,city_103,0.92,,True,Part time course,Graduate,STEM,19,1000-4999,Pvt Ltd,1,68,False
3538,city_103,0.92,Male,True,no_enrollment,Graduate,Humanities,>20,10000+,Pvt Ltd,>4,86,False
3887,city_103,0.92,Female,True,no_enrollment,Phd,STEM,13,5000-9999,Pvt Ltd,1,11,False
4179,city_103,0.92,,True,no_enrollment,Graduate,Arts,17,10000+,Pvt Ltd,4,59,False
252,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,11,1000-4999,Pvt Ltd,1,26,False
4344,city_76,0.698,Male,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,14,False
30079,city_160,0.92,Male,True,no_enrollment,Graduate,STEM,15,5000-9999,Pvt Ltd,2,92,False
13328,city_21,0.624,Male,True,,Graduate,STEM,14,10000+,Pvt Ltd,1,78,True
10295,city_61,0.913,Male,True,no_enrollment,High School,,>20,1000-4999,Pvt Ltd,3,46,False
3155,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,>4,126,False
16929,city_103,0.92,,True,no_enrollment,Masters,Other,15,1000-4999,Pvt Ltd,4,43,False
8067,city_45,0.89,Male,True,no_enrollment,Masters,STEM,14,1000-4999,Pvt Ltd,>4,27,False
7687,city_89,0.925,Male,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,1,86,False
29692,city_103,0.92,Male,True,no_enrollment,Masters,STEM,>20,1000-4999,Pvt Ltd,1,79,False
5952,city_21,0.624,Male,True,no_enrollment,Masters,STEM,20,10000+,Pvt Ltd,>4,54,True
24322,city_116,0.743,Male,True,no_enrollment,Masters,STEM,>20,5000-9999,Pvt Ltd,2,135,False
25820,city_103,0.92,Male,True,no_enrollment,Graduate,Humanities,19,10000+,Pvt Ltd,1,145,True
50,city_103,0.92,Male,True,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,1,79,True
7222,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,16,1000-4999,Pvt Ltd,1,9,False
29172,city_103,0.92,Male,True,Full time course,Graduate,STEM,15,1000-4999,Pvt Ltd,2,94,False
19129,city_67,0.855,,False,no_enrollment,Masters,Business Degree,19,1000-4999,Pvt Ltd,2,15,False
23841,city_144,0.84,,True,no_enrollment,Phd,STEM,>20,1000-4999,Pvt Ltd,1,210,True
4379,city_103,0.92,Male,True,no_enrollment,Graduate,Arts,>20,5000-9999,NGO,>4,90,False
29814,city_103,0.92,Male,False,no_enrollment,Masters,Other,16,10000+,Pvt Ltd,>4,43,False
5565,city_21,0.624,Male,True,no_enrollment,Masters,STEM,17,1000-4999,Pvt Ltd,>4,168,True
22197,city_61,0.913,,True,no_enrollment,,,19,1000-4999,Pvt Ltd,>4,23,True
23633,city_150,0.698,Male,False,Full time course,Phd,STEM,>20,10000+,Public Sector,>4,3,False
16762,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,12,10000+,Pvt Ltd,>4,7,False
28672,city_103,0.92,Male,False,no_enrollment,Masters,STEM,19,1000-4999,Pvt Ltd,1,90,False
25954,city_103,0.92,,True,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,2,130,False
5149,city_21,0.624,Male,True,no_enrollment,Graduate,STEM,10,10000+,Pvt Ltd,never,64,True
2009,city_28,0.939,Male,True,no_enrollment,Masters,Humanities,15,1000-4999,Pvt Ltd,4,12,False
28338,city_16,0.91,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Public Sector,1,41,False
31322,city_75,0.939,Male,True,no_enrollment,Masters,STEM,19,10000+,Pvt Ltd,1,332,False
1710,city_103,0.92,Male,False,no_enrollment,Graduate,STEM,>20,1000-4999,Pvt Ltd,>4,47,False
9376,city_28,0.939,,True,no_enrollment,Masters,STEM,14,10000+,Pvt Ltd,never,109,False
6852,city_116,0.743,Male,True,no_enrollment,Graduate,STEM,10,1000-4999,Pvt Ltd,1,42,False
27015,city_65,0.802,Male,True,no_enrollment,Graduate,STEM,16,5000-9999,Pvt Ltd,1,107,False
1562,city_21,0.624,Male,False,no_enrollment,Graduate,STEM,17,10000+,Pvt Ltd,>4,23,True
9583,city_21,0.624,Male,True,no_enrollment,Masters,STEM,17,5000-9999,Pvt Ltd,>4,67,True
15600,city_50,0.896,Male,True,no_enrollment,Masters,STEM,15,5000-9999,Pvt Ltd,>4,43,False
28097,city_103,0.92,Female,True,no_enrollment,Graduate,STEM,15,10000+,Pvt Ltd,2,320,False
11507,city_114,0.926,Male,False,Full time course,High School,,10,5000-9999,Pvt Ltd,1,65,False
25649,city_114,0.926,Male,True,no_enrollment,Phd,STEM,>20,10000+,Pvt Ltd,>4,58,False
1761,city_103,0.92,Male,True,no_enrollment,Graduate,STEM,>20,10000+,Pvt Ltd,2,64,False
1585,city_16,0.91,Male,True,no_enrollment,Masters,STEM,16,1000-4999,Pvt Ltd,2,104,False
3247,city_100,0.887,,True,no_enrollment,Masters,STEM,19,1000-4999,Pvt Ltd,,104,True
