,listing_id,host_name,last_review,price,nbhood_full,description,room_type,borough,neighborhood
83,26520,Erica,2019-06-02,125,"Brooklyn, Clinton Hill","Cozy Room #3, Landmark Home 1 Block to PRATT",private room,Brooklyn,Clinton Hill
84,26969,Alexandra,2019-06-23,325,"Brooklyn, Williamsburg",2 story family home in Williamsburg,entire home/apt,Brooklyn,Williamsburg
85,27006,Stacy,2019-04-27,235,"Manhattan, Upper West Side",Comfortable UWS 2-BD Family-Friendly Brownstone,entire home/apt,Manhattan,Upper West Side
86,27385,Bruce,2019-06-07,225,"Manhattan, East Village",Great Large 1 BR apt  in East Village!,entire home/apt,Manhattan,East Village
87,27531,Evelyn,2019-05-20,99,"Brooklyn, South Slope",Eveland Private Bed & Living Room w/ Own Entrance,private room,Brooklyn,South Slope
88,27644,Emma,2019-07-01,170,"Manhattan, Harlem",Sugar Hill Rest Stop,entire home/apt,Manhattan,Harlem
89,27759,Sylvie,2019-06-26,170,"Manhattan, Upper West Side",apartment next to Central park,entire home/apt,Manhattan,Upper West Side
90,29013,Angela,2019-05-14,70,"Brooklyn, Bedford-Stuyvesant",B & B Room 1,private room,Brooklyn,Bedford-Stuyvesant
91,29455,Laurine,2019-06-20,120,"Manhattan, Harlem",ACCOMMODATIONS GALORE #1,entire home/apt,Manhattan,Harlem
92,29628,Chris,2019-07-03,89,"Brooklyn, Clinton Hill",Sunny Room in New Condo,private room,Brooklyn,Clinton Hill
93,29683,Uli,2019-06-25,185,"Manhattan, East Village",Stylish & Sleek Apartment Near SoHo!,entire home/apt,Manhattan,East Village
94,30031,Sol,2019-05-20,50,"Brooklyn, Greenpoint",NYC artists‚Äô loft with roof deck,private room,Brooklyn,Greenpoint
95,30927,Cs,2019-06-14,105,"Manhattan, Lower East Side",Unique & Charming small 1br Apt. LES,entire home/apt,Manhattan,Lower East Side
96,31130,Lara,2019-05-26,130,"Manhattan, Hell's Kitchen",Most Central Location!,private room,Manhattan,Hell's Kitchen
97,31555,Tom,2019-07-01,115,"Manhattan, West Village",Luminous Beautiful West Village Studio,entire home/apt,Manhattan,West Village
98,31902,Sunder,2019-01-01,77,"Brooklyn, Flatlands",Sanctuary in East Flatbush,private room,Brooklyn,Flatlands
99,31994,Waldemar,2019-06-24,76,"Brooklyn, Clinton Hill",Room with En Suite Bathroom & Deck,private room,Brooklyn,Clinton Hill
100,32023,Khem,2019-06-23,125,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH,entire home/apt,Brooklyn,Bedford-Stuyvesant
101,32037,Sahr,2019-07-01,135,"Brooklyn, Clinton Hill",Huge Private  Floor at The Waverly,private room,Brooklyn,Clinton Hill
102,32965,Khem,2019-06-20,115,"Brooklyn, Bedford-Stuyvesant",FLAT MACDONOUGH GARDEN,entire home/apt,Brooklyn,Bedford-Stuyvesant
103,32969,Katherine,2019-07-02,160,"Brooklyn, Williamsburg",Light filled Williamsburg Apartment,entire home/apt,Brooklyn,Williamsburg
104,33009,Ming,2019-06-17,195,"Brooklyn, Williamsburg",Retreat in Williamsburg,entire home/apt,Brooklyn,Williamsburg
105,33014,Paula,2019-06-17,195,"Manhattan, East Village",NYC Zen,entire home/apt,Manhattan,East Village
106,33223,Lulú,2019-06-22,80,"Brooklyn, Williamsburg",Cozy BR in Wiliamsburg 3 Bedroom,private room,Brooklyn,Williamsburg
107,34760,Obed,2019-06-29,44,"Brooklyn, Fort Greene",Sunny Room in Old Historical Brooklyn Townhouse,private room,Brooklyn,Fort Greene
108,35526,Karen,2019-06-22,156,"Manhattan, West Village",Sun Filled Classic West Village Apt,private room,Manhattan,West Village
109,36133,White,2019-06-13,125,"Brooklyn, Williamsburg",Classic Artist Loft Williamsburg,private room,Brooklyn,Williamsburg
110,36703,Karene,2019-03-31,225,"Manhattan, West Village","Sunny, clean 1 bdrm in W. Village",entire home/apt,Manhattan,West Village
111,38638,Sara,2019-06-26,219,"Manhattan, Upper East Side",Light and Airy Upper East Side 1 BDR apartment,entire home/apt,Manhattan,Upper East Side
112,39267,Marie,2019-06-08,99,"Manhattan, Upper East Side",CENTRAL PARK LOFT all for YOU,entire home/apt,Manhattan,Upper East Side
113,39282,Gus,2019-05-28,69,"Brooklyn, Williamsburg",Indie-Chic Share In Williamsburg,private room,Brooklyn,Williamsburg
114,39593,Myung,2019-04-12,79,"Queens, Sunnyside","A room w/ a Manhattan view, longer stay",private room,Queens,Sunnyside
115,39704,Renée,2019-06-22,135,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny 1BR w/W&D",entire home/apt,Brooklyn,Bedford-Stuyvesant
116,41348,Syl,2019-07-06,250,"Brooklyn, Gowanus",* Spacious GARDEN Park Slope Duplex* 6 people max,entire home/apt,Brooklyn,Gowanus
117,42580,Waldemar,2019-06-24,70,"Brooklyn, Clinton Hill",Parlor Room In Victorian Townhouse,private room,Brooklyn,Clinton Hill
118,42729,Annette,2019-06-18,165,"Brooklyn, Carroll Gardens",House On Henry (2nd FLR Suite),entire home/apt,Brooklyn,Carroll Gardens
119,42882,Newyorkroomwithaview,2019-06-13,70,"Staten Island, St. George",New York room with a view,private room,Staten Island,St. George
120,43957,Tessa,2019-06-19,50,"Brooklyn, Bushwick",Sunny cozy room in Brklyn townhouse,private room,Brooklyn,Bushwick
121,44096,Waundell,2019-07-04,40,"Bronx, Highbridge",Room with a View,private room,Bronx,Highbridge
122,44212,Bruce,2019-06-23,125,"Manhattan, East Village",West Inn 2 - East Village,private room,Manhattan,East Village
123,44221,Coral,2019-06-20,196,"Manhattan, Financial District",Financial District Luxury Loft,entire home/apt,Manhattan,Financial District
124,44229,Carol,2019-06-24,110,"Brooklyn, Fort Greene",BROOKLYN VICTORIAN STYLE SUITE.....,private room,Brooklyn,Fort Greene
125,44288,Sara,2019-06-01,170,"Manhattan, West Village",Your own Lovely West Village Studio,entire home/apt,Manhattan,West Village
126,44506,Laurine,2019-05-26,165,"Manhattan, Harlem",ACCOMMODATIONS GALORE#3. 1-5 GUESTS,entire home/apt,Manhattan,Harlem
127,45556,Doug,2019-06-30,65,"Brooklyn, Fort Greene","Fort Greene, Brooklyn: Center Bedroom",private room,Brooklyn,Fort Greene
128,45910,Mark,2019-05-12,350,"Queens, Ridgewood",Beautiful Queens Brownstone! - 5BR,entire home/apt,Queens,Ridgewood
129,45936,Rahul,2019-05-14,99,"Manhattan, Morningside Heights",Couldn't Be Closer To Columbia Uni,private room,Manhattan,Morningside Heights
130,45940,Miyoung,2019-04-08,200,"Brooklyn, Williamsburg",Bright Spacious Luxury Condo,entire home/apt,Brooklyn,Williamsburg
131,46544,Monica,2019-06-05,150,"Brooklyn, Park Slope",Park Slope haven 15 mins from Soho,entire home/apt,Brooklyn,Park Slope
132,46723,Marylyn,2019-05-19,90,"Brooklyn, Bedford-Stuyvesant",SAFE  AND BEAUTIFUL ACCOMODATION,private room,Brooklyn,Bedford-Stuyvesant
133,46911,Kathleen R.,2019-06-24,120,"Brooklyn, Prospect Heights",Large Room in private Brownstone in Park Slope,private room,Brooklyn,Prospect Heights
134,47199,Teresa,2019-06-24,75,"Manhattan, Upper East Side","NEW YORK CITY, 1 BDRM.(NEAR CENTRAL PARK & METRO)",private room,Manhattan,Upper East Side
135,47926,Claudia,2019-06-26,275,"Manhattan, Hell's Kitchen",LUX APT IN TIMES SQUARE NEW BUILDING,entire home/apt,Manhattan,Hell's Kitchen
136,48719,Shane,2019-06-15,299,"Manhattan, Lower East Side",Designer 1 BR Duplex w/ Terrace- Spectacular Views,entire home/apt,Manhattan,Lower East Side
137,50447,Laurie,2019-06-22,135,"Brooklyn, South Slope",Lovely Apt & Garden;  Legal;  Best Area; Amenities,entire home/apt,Brooklyn,South Slope
138,51485,Erina,2019-06-22,83,"Manhattan, Lower East Side",Lower East Side $57~/night,private room,Manhattan,Lower East Side
139,51572,Lee,2019-06-18,123,"Manhattan, Chelsea",Prime Location in Manhattan,private room,Manhattan,Chelsea
140,51850,Jullett,2019-05-20,55,"Queens, Jamaica",( F) Excellent/Pvt Rm,private room,Queens,Jamaica
141,53137,Marlaine,2019-07-01,195,"Manhattan, Hell's Kitchen","Quiet, sunny Midtown Manhattan apt.",entire home/apt,Manhattan,Hell's Kitchen
142,53477,Mark,2019-04-27,265,"Queens, Middle Village",3 floors of luxury!,entire home/apt,Queens,Middle Village
143,54158,Bob,2019-06-20,249,"Brooklyn, Williamsburg",The Institute‚ÄîHeart of Williamsburg,entire home/apt,Brooklyn,Williamsburg
144,54508,Kathleen R.,2019-06-06,100,"Brooklyn, Prospect Heights",Sml Rm in pr Brst  Park Sl great for Med/students,private room,Brooklyn,Prospect Heights
145,54544,Wayne,2019-06-22,121,"Manhattan, Harlem",City Room - Private Penthouse Apt.,entire home/apt,Manhattan,Harlem
146,54626,Waundell,2019-06-30,45,"Bronx, Highbridge",Cozy bedroom by Yankee Stadium,private room,Bronx,Highbridge
147,54860,Jenny,2019-06-23,100,"Manhattan, East Harlem",Great apartment with private bathroom and entrance,private room,Manhattan,East Harlem
148,55467,Paul,2019-07-02,140,"Brooklyn, Williamsburg",Private Garden Apt ‚Ä¢ New Renovation,entire home/apt,Brooklyn,Williamsburg
149,55498,Tami,2019-07-01,71,"Brooklyn, Bedford-Stuyvesant",Modern comfort in art infused landmark Brownstone,private room,Brooklyn,Bedford-Stuyvesant
150,55737,Pete,2019-05-19,199,"Manhattan, West Village",Sleek & Comfortable Soho Apt,entire home/apt,Manhattan,West Village
151,55959,Gus,2019-06-10,69,"Brooklyn, Williamsburg",Spacious Williamsburg Share w/ LOFT BED,private room,Brooklyn,Williamsburg
152,56467,Leonardo,2019-07-01,130,"Manhattan, East Village",Cozy East Village Railroad 1 Bed!,entire home/apt,Manhattan,East Village
153,56525,Alex,2019-06-13,195,"Brooklyn, Greenpoint",1 Bedroom Loft w/ Private Roof Deck,entire home/apt,Brooklyn,Greenpoint
154,56859,Wayne,2019-06-03,64,"Manhattan, Harlem",City Room - Private & Comfy Bedroom,private room,Manhattan,Harlem
155,57166,Vasili,2019-06-17,140,"Queens, Ditmars Steinway",Elegant NYC Pad,entire home/apt,Queens,Ditmars Steinway
156,57297,S.M.,2019-06-24,159,"Brooklyn, Cobble Hill","Clean & bright 1BR in Cobble Hill, GREAT location!",entire home/apt,Brooklyn,Cobble Hill
157,57468,Ori,2019-06-23,189,"Manhattan, East Village","Modern, Large East Village Loft",entire home/apt,Manhattan,East Village
158,57618,Ana,2019-06-09,250,"Manhattan, Hell's Kitchen","Great new apt, close to everything",entire home/apt,Manhattan,Hell's Kitchen
159,57740,I,2019-05-24,239,"Manhattan, East Village",Quiet & Clean Retreat in the City,entire home/apt,Manhattan,East Village
160,57754,R,2019-06-30,305,"Manhattan, Flatiron District",Stylish Large Gramercy Loft!,entire home/apt,Manhattan,Flatiron District
161,57874,Simon,2019-06-26,155,"Manhattan, Harlem",The Brownstone-Luxury 1 Bd Apt/NYC,entire home/apt,Manhattan,Harlem
162,58059,Agnes,2019-07-03,60,"Manhattan, Harlem",PRIVATE Room on Historic Sugar Hill,private room,Manhattan,Harlem
163,58062,Linda,2019-05-17,135,"Brooklyn, Windsor Terrace",South Slope Green,private room,Brooklyn,Windsor Terrace
164,58467,Dave,2019-05-08,120,"Manhattan, Roosevelt Island","17 Flr. Manhattan Views, Nr. Subway",private room,Manhattan,Roosevelt Island
165,59014,Drica,2019-01-02,150,"Manhattan, Lower East Side","Spacious 1BR, Adorable Clean Quiet",entire home/apt,Manhattan,Lower East Side
166,59642,Betty,2019-05-19,135,"Brooklyn, Greenpoint",Franklin St Flat in Trendy Greenpoint Brooklyn,entire home/apt,Brooklyn,Greenpoint
167,59709,Ricardo & Ashlie,2019-07-01,250,"Manhattan, Chinatown","Artistic, Cozy, and Spacious w/ Patio! Sleeps 5",entire home/apt,Manhattan,Chinatown
168,60164,Harrison,2019-06-23,500,"Manhattan, SoHo","Beautiful, elegant 3 bed SOHO loft",entire home/apt,Manhattan,SoHo
169,60457,Jessica,2019-05-11,225,"Manhattan, Greenwich Village",Spacious Greenwich Village Apt,entire home/apt,Manhattan,Greenwich Village
170,60666,Wayne,2019-06-11,92,"Manhattan, Harlem",City Room - Private Luxury Suite,private room,Manhattan,Harlem
171,60680,Mich,2019-06-20,99,"Manhattan, East Village",The gem of the East Village,entire home/apt,Manhattan,East Village
172,60948,Laurine,2019-06-20,140,"Manhattan, East Harlem",ACCOMMODATIONS GALORE #2,entire home/apt,Manhattan,East Harlem
173,61406,Bethania,2019-06-01,80,"Manhattan, Harlem",Great room in great location,private room,Manhattan,Harlem
174,61492,Tunji,2019-06-23,120,"Manhattan, Chinatown",Exclusive Room with Private Bath in  LES,private room,Manhattan,Chinatown
175,61509,Anna/Fonzy,2019-04-30,110,"Manhattan, Midtown","Quiet, clean midtown apt w. elevato",entire home/apt,Manhattan,Midtown
176,62095,Colette&Sean,2019-06-14,65,"Brooklyn, East Flatbush",BK Sweet Suite w/Kitchen&FullBath,entire home/apt,Brooklyn,East Flatbush
177,62427,Brie,2019-05-26,130,"Manhattan, East Village",Great East Village Apartment Rental,entire home/apt,Manhattan,East Village
178,62430,Sheila,2019-06-22,99,"Brooklyn, Bushwick",BROWNSTONE SUNDRENCHED BEAUTY,entire home/apt,Brooklyn,Bushwick
179,62452,Lissette,2019-06-25,36,"Staten Island, Tompkinsville",A SpeciaL!! Private Room in NY,private room,Staten Island,Tompkinsville
180,62461,Lissette,2019-06-10,37,"Staten Island, Tompkinsville",B NYC Staten Alternative...,private room,Staten Island,Tompkinsville
181,62787,Lissette,2019-07-02,37,"Staten Island, Tompkinsville",C Private Room By The Ferry,private room,Staten Island,Tompkinsville
182,62891,Olivia,2019-05-24,175,"Manhattan, East Village",Smallest House In The Village,entire home/apt,Manhattan,East Village
183,62903,Daniel,2019-06-21,205,"Manhattan, Chelsea",Beautiful modern studio apartment in heart of NYC,entire home/apt,Manhattan,Chelsea
184,62925,Maya,2019-06-16,285,"Brooklyn, Greenpoint",Beautiful Landmarked Duplex,entire home/apt,Brooklyn,Greenpoint
185,63299,Scott,2019-06-23,59,"Brooklyn, Williamsburg",BROOKLYN > Guest Room w/ Queen Bed in Williamsburg,private room,Brooklyn,Williamsburg
186,63320,Lissette,2019-07-02,36,"Staten Island, Tompkinsville",D Private Che@p Room 2 Explore NYC,private room,Staten Island,Tompkinsville
187,63360,Dennis & Naoko,2019-06-24,99,"Queens, Astoria",Safe cute near subway& Manhattan NY NY retro style,entire home/apt,Queens,Astoria
188,63546,Antonín,2019-05-16,39,"Brooklyn, Kensington",Large and Cozy Private Bedroom,private room,Brooklyn,Kensington
189,63610,Vie,2019-06-27,105,"Bronx, Eastchester",DOMINIQUE'S NY mini efficiency* wifi*metro*quiet,entire home/apt,Bronx,Eastchester
190,63657,Renée,2019-06-25,135,"Brooklyn, Bedford-Stuyvesant","Private, Large & Sunny Top Floor Apt  w/W&D",entire home/apt,Brooklyn,Bedford-Stuyvesant
191,63693,Olivia,2019-06-19,390,"Manhattan, East Village",Cottage in the Village,entire home/apt,Manhattan,East Village
192,64000,Kristian & Di,2019-01-07,60,"Brooklyn, Williamsburg",Williamsburg near soho. / loftbed,private room,Brooklyn,Williamsburg
193,64107,Niya,2019-06-24,100,"Brooklyn, Crown Heights",BROOKLYN  STUDIO APARTMENT,private room,Brooklyn,Crown Heights
194,64277,Helene,2019-01-02,70,"Brooklyn, Bedford-Stuyvesant",BEDROOM2 FOR RENT  10min from Manh,private room,Brooklyn,Bedford-Stuyvesant
195,64314,Debbie,2019-05-26,110,"Brooklyn, Crown Heights",cozy bedroom in lovely garden apt,private room,Brooklyn,Crown Heights
196,64365,Anthony,2019-06-27,60,"Brooklyn, Crown Heights",Crown Heights Garden Apt.,private room,Brooklyn,Crown Heights
197,64707,Tilly,2019-01-02,90,"Manhattan, Little Italy",Amazing  Sunny & Breezy Home In the Heart of  NYC,entire home/apt,Manhattan,Little Italy
198,64837,Edward,2019-06-23,68,"Manhattan, East Village",ENJOY Downtown NYC!!,private room,Manhattan,East Village
199,65019,Claire,2019-07-06,115,"Manhattan, Upper West Side",Charming UWS Treehouse Apt,entire home/apt,Manhattan,Upper West Side
