id,day,airline,destination,dest_region,dest_size,boarding_area,dept_time,wait_min,cleanliness,safety,satisfaction
1039,Tuesday,DELTA,DEST_39,Central/South America,Hub,Gates 70-90,2018-12-31,37.9,Average,Somewhat safe,Somewhat satisfied
1040,Thursday,SOUTHWEST,DEST_40,Australia/New Zealand,Medium,Gates 91-102,2018-12-31,433.7,Unacceptable,Very safe,Very satisfied
1041,Thursday,UNITED INTL,DEST_41,Midwest US,    Large,Gates 1-12,2018-12-31,40.3,Dirty,Somewhat safe,Neutral
1042,Friday,AMERICAN,DEST_42,eur,    Medium,Gates 1-12,2018-12-31,576.0,Clean,Somewhat unsafe,Neutral
1043,Thursday,SOUTHWEST,DEST_43,West US,    Hub,Gates 40-48,2018-12-31,554.9,Dirty,Very unsafe,Very satisfied
1044,Wednesday,CHINA EASTERN,DEST_44,middle east,    Small,Gates 50-59,2018-12-31,185.8,Dirty,Somewhat safe,Very unsatisfied
1045,Tuesday,AMERICAN,DEST_45,Australia/New Zealand,Small     ,Gates 50-59,2018-12-31,338.5,Somewhat dirty,Very unsafe,Somewhat satisfied
1046,Friday,AMERICAN,DEST_46,West US,Large,Gates 20-39,2018-12-31,370.4,Somewhat clean,Very unsafe,Neutral
1047,Thursday,AMERICAN,DEST_47,East US,Hub,Gates 1-12,2018-12-31,286.8,Dirty,Very unsafe,Very unsatisfied
1048,Friday,SOUTHWEST,DEST_48,Central/South America,    Small,Gates 1-12,2018-12-31,249.9,Somewhat dirty,Very unsafe,Somewhat unsatisfied
1049,Wednesday,JETBLUE,DEST_49,Middle East,    Hub,Gates 20-39,2018-12-31,37.1,Average,Neutral,Neutral
1050,Tuesday,CHINA EASTERN,DEST_50,Asia,    Small,Gates 50-59,2018-12-31,465.7,Unacceptable,Very safe,Very satisfied
1051,Wednesday,JETBLUE,DEST_51,Europe,    Large,Gates 20-39,2018-12-31,504.7,Unacceptable,Neutral,Somewhat unsatisfied
1052,Wednesday,UNITED,DEST_52,Canada/Mexico,Large     ,Gates 70-90,2018-12-31,126.4,Unacceptable,Very safe,Very satisfied
1053,Monday,UNITED,DEST_53,Asia,    Medium,Gates 50-59,2018-12-31,129.5,Somewhat dirty,Very unsafe,Neutral
1054,Wednesday,UNITED INTL,DEST_54,Asia,Medium     ,Gates 70-90,2018-12-31,381.9,Dirty,Somewhat safe,Somewhat unsatisfied
1055,Saturday,ALASKA,DEST_55,middle east,    Medium,Gates 40-48,2018-12-31,420.8,Unacceptable,Neutral,Somewhat unsatisfied
1056,Saturday,SOUTHWEST,DEST_56,Asia,Large     ,Gates 20-39,2018-12-31,234.7,Unacceptable,Very safe,Neutral
1057,Sunday,UNITED,DEST_57,eur,    Medium,Gates 70-90,2018-12-31,449.8,Dirty,Somewhat unsafe,Somewhat satisfied
1058,Sunday,AMERICAN,DEST_58,middle east,Medium     ,Gates 70-90,2018-12-31,167.1,Clean,Neutral,Very unsatisfied
1059,Friday,UNITED,DEST_59,eur,Small     ,Gates 70-90,2018-12-31,497.5,Clean,Somewhat safe,Somewhat satisfied
1060,Monday,DELTA,DEST_60,Canada/Mexico,Hub     ,Gates 1-12,2018-12-31,185.8,Clean,Neutral,Somewhat unsatisfied
1061,Friday,UNITED,DEST_61,Midwest US,Large,Gates 1-12,2018-12-31,463.5,Somewhat clean,Somewhat unsafe,Very unsatisfied
1062,Wednesday,UNITED INTL,DEST_62,Australia/New Zealand,Large,Gates 1-12,2018-12-31,180.3,Somewhat clean,Very safe,Very satisfied
1063,Thursday,UNITED,DEST_63,East US,Medium     ,Gates 40-48,2018-12-31,534.7,Somewhat clean,Neutral,Neutral
1064,Friday,ALASKA,DEST_64,Canada/Mexico,    Large,Gates 40-48,2018-12-31,374.0,Somewhat clean,Neutral,Very unsatisfied
1065,Tuesday,AMERICAN,DEST_65,Middle East,    Hub,Gates 20-39,2018-12-31,207.8,Somewhat dirty,Neutral,Somewhat unsatisfied
1066,Tuesday,ALASKA,DEST_66,Central/South America,    Hub,Gates 91-102,2018-12-31,472.2,Dirty,Very safe,Somewhat unsatisfied
1067,Monday,DELTA,DEST_67,Midwest US,    Small,Gates 70-90,2018-12-31,446.5,Unacceptable,Very safe,Very unsatisfied
1068,Wednesday,ALASKA,DEST_68,Asia,Large     ,Gates 40-48,2018-12-31,357.6,Average,Very unsafe,Somewhat satisfied
1069,Thursday,UNITED,DEST_69,Asia,Medium,Gates 70-90,2018-12-31,341.8,Somewhat clean,Neutral,Somewhat satisfied
1070,Saturday,DELTA,DEST_70,Midwest US,Medium,Gates 50-59,2018-12-31,497.3,Somewhat dirty,Somewhat safe,Somewhat satisfied
1071,Thursday,SOUTHWEST,DEST_71,Canada/Mexico,    Hub,Gates 91-102,2018-12-31,78.3,Dirty,Somewhat unsafe,Somewhat unsatisfied
1072,Wednesday,AMERICAN,DEST_72,Middle East,Hub     ,Gates 50-59,2018-12-31,481.3,Unacceptable,Very safe,Very satisfied
1073,Saturday,JETBLUE,DEST_73,Midwest US,Small,Gates 20-39,2018-12-31,173.6,Somewhat clean,Very safe,Somewhat satisfied
1074,Tuesday,UNITED INTL,DEST_74,Asia,Large     ,Gates 50-59,2018-12-31,67.3,Dirty,Neutral,Very satisfied
1075,Friday,JETBLUE,DEST_75,Central/South America,Small     ,Gates 91-102,2018-12-31,448.6,Clean,Very safe,Neutral
1076,Monday,UNITED INTL,DEST_76,Middle East,Hub,Gates 40-48,2018-12-31,397.8,Somewhat dirty,Very safe,Very satisfied
1077,Tuesday,ALASKA,DEST_77,middle east,Small     ,Gates 40-48,2018-12-31,458.3,Clean,Somewhat safe,Very satisfied
1078,Wednesday,CHINA EASTERN,DEST_78,East US,    Medium,Gates 1-12,2018-12-31,579.5,Clean,Somewhat safe,Neutral
1079,Tuesday,AMERICAN,DEST_79,eur,    Large,Gates 91-102,2018-12-31,301.0,Somewhat clean,Very safe,Somewhat unsatisfied
1080,Wednesday,DELTA,DEST_80,Asia,Medium,Gates 70-90,2018-12-31,109.4,Clean,Neutral,Neutral
1081,Saturday,AMERICAN,DEST_81,Europe,Medium,Gates 40-48,2018-12-31,200.9,Dirty,Very unsafe,Somewhat unsatisfied
1082,Thursday,JETBLUE,DEST_82,Canada/Mexico,Medium,Gates 70-90,2018-12-31,480.0,Average,Somewhat unsafe,Somewhat unsatisfied
1083,Monday,SOUTHWEST,DEST_83,Asia,    Small,Gates 91-102,2018-12-31,407.9,Dirty,Very unsafe,Somewhat unsatisfied
1084,Monday,CHINA EASTERN,DEST_84,West US,Medium     ,Gates 91-102,2018-12-31,410.1,Somewhat clean,Very unsafe,Neutral
1085,Monday,CHINA EASTERN,DEST_85,Europe,    Hub,Gates 70-90,2018-12-31,476.5,Clean,Somewhat safe,Neutral
1086,Saturday,DELTA,DEST_86,Canada/Mexico,Large     ,Gates 70-90,2018-12-31,260.3,Average,Somewhat unsafe,Neutral
1087,Friday,AMERICAN,DEST_87,Canada/Mexico,    Hub,Gates 20-39,2018-12-31,186.1,Somewhat dirty,Somewhat unsafe,Very satisfied
1088,Tuesday,CHINA EASTERN,DEST_88,Midwest US,Medium     ,Gates 40-48,2018-12-31,185.6,Clean,Somewhat safe,Neutral
1089,Sunday,UNITED INTL,DEST_89,West US,Hub     ,Gates 50-59,2018-12-31,546.2,Unacceptable,Neutral,Somewhat satisfied
1090,Saturday,DELTA,DEST_90,Europe,Hub,Gates 91-102,2018-12-31,158.7,Average,Very safe,Very satisfied
1091,Saturday,ALASKA,DEST_91,Central/South America,Hub,Gates 20-39,2018-12-31,266.1,Unacceptable,Very safe,Very unsatisfied
1092,Friday,UNITED,DEST_92,EAST US,Large,Gates 1-12,2018-12-31,574.4,Unacceptable,Somewhat unsafe,Very satisfied
1093,Saturday,DELTA,DEST_93,Midwest US,Medium,Gates 1-12,2018-12-31,376.0,Average,Somewhat safe,Very satisfied
1094,Thursday,ALASKA,DEST_94,East US,Hub,Gates 1-12,2018-12-31,114.1,Dirty,Very safe,Very unsatisfied
1095,Saturday,JETBLUE,DEST_95,Midwest US,Large     ,Gates 40-48,2018-12-31,591.8,Somewhat dirty,Very unsafe,Somewhat unsatisfied
1096,Wednesday,JETBLUE,DEST_96,Canada/Mexico,    Medium,Gates 40-48,2018-12-31,573.0,Unacceptable,Somewhat unsafe,Somewhat unsatisfied
1097,Sunday,UNITED,DEST_97,Europe,Hub,Gates 70-90,2018-12-31,308.6,Unacceptable,Very safe,Neutral
1098,Monday,AMERICAN,DEST_98,EAST US,    Large,Gates 1-12,2018-12-31,572.9,Clean,Somewhat unsafe,Very satisfied
1099,Monday,ALASKA,DEST_99,Canada/Mexico,Hub,Gates 20-39,2018-12-31,259.1,Average,Neutral,Very unsatisfied
1100,Sunday,UNITED,DEST_100,Canada/Mexico,Hub     ,Gates 40-48,2018-12-31,358.1,Dirty,Somewhat unsafe,Very unsatisfied
1101,Friday,AMERICAN,DEST_101,EAST US,Large,Gates 50-59,2018-12-31,451.1,Clean,Somewhat unsafe,Somewhat unsatisfied
1102,Thursday,ALASKA,DEST_102,eur,Hub     ,Gates 40-48,2018-12-31,181.8,Average,Very unsafe,Very unsatisfied
1103,Friday,SOUTHWEST,DEST_103,Canada/Mexico,Large     ,Gates 1-12,2018-12-31,33.2,Average,Neutral,Neutral
1104,Monday,JETBLUE,DEST_104,eur,Small     ,Gates 40-48,2018-12-31,319.7,Dirty,Somewhat unsafe,Somewhat satisfied
1105,Thursday,JETBLUE,DEST_105,Australia/New Zealand,    Small,Gates 70-90,2018-12-31,442.9,Unacceptable,Very safe,Somewhat unsatisfied
1106,Tuesday,ALASKA,DEST_106,East US,Medium     ,Gates 20-39,2018-12-31,595.4,Average,Somewhat safe,Somewhat satisfied
1107,Wednesday,ALASKA,DEST_107,Middle East,    Small,Gates 70-90,2018-12-31,596.2,Somewhat clean,Neutral,Somewhat satisfied
1108,Saturday,AMERICAN,DEST_108,Europe,Small     ,Gates 70-90,2018-12-31,341.4,Average,Very safe,Somewhat unsatisfied
1109,Tuesday,CHINA EASTERN,DEST_109,Middle East,Hub     ,Gates 20-39,2018-12-31,421.3,Average,Neutral,Very satisfied
1110,Thursday,UNITED INTL,DEST_110,Midwest US,Hub     ,Gates 50-59,2018-12-31,484.9,Unacceptable,Somewhat unsafe,Neutral
1111,Wednesday,DELTA,DEST_111,middle east,Small     ,Gates 1-12,2018-12-31,284.7,Dirty,Neutral,Very unsatisfied
1112,Thursday,UNITED INTL,DEST_112,Australia/New Zealand,Hub     ,Gates 91-102,2018-12-31,364.0,Average,Somewhat safe,Very satisfied
1113,Wednesday,AMERICAN,DEST_113,Middle East,    Medium,Gates 20-39,2018-12-31,514.1,Somewhat dirty,Very unsafe,Very unsatisfied
1114,Friday,ALASKA,DEST_114,Europe,Large     ,Gates 40-48,2018-12-31,324.1,Somewhat dirty,Somewhat safe,Somewhat satisfied
1115,Wednesday,JETBLUE,DEST_115,eur,Small,Gates 1-12,2018-12-31,586.6,Dirty,Somewhat safe,Somewhat unsatisfied
1116,Wednesday,ALASKA,DEST_116,middle east,    Hub,Gates 1-12,2018-12-31,35.3,Somewhat clean,Very unsafe,Somewhat unsatisfied
1117,Tuesday,AMERICAN,DEST_117,West US,Large     ,Gates 50-59,2018-12-31,52.6,Somewhat dirty,Somewhat unsafe,Very satisfied
1118,Monday,CHINA EASTERN,DEST_118,West US,Medium     ,Gates 40-48,2018-12-31,168.5,Clean,Somewhat safe,Somewhat unsatisfied
1119,Friday,JETBLUE,DEST_119,eur,    Hub,Gates 91-102,2018-12-31,548.8,Clean,Very unsafe,Very satisfied
1120,Monday,DELTA,DEST_120,East US,    Medium,Gates 70-90,2018-12-31,378.4,Unacceptable,Neutral,Somewhat satisfied
1121,Wednesday,CHINA EASTERN,DEST_121,EAST US,    Hub,Gates 91-102,2018-12-31,164.5,Dirty,Very safe,Somewhat unsatisfied
1122,Saturday,UNITED,DEST_122,middle east,Large,Gates 40-48,2018-12-31,568.3,Dirty,Somewhat unsafe,Very satisfied
1123,Monday,UNITED,DEST_123,Middle East,    Medium,Gates 50-59,2018-12-31,207.1,Somewhat dirty,Neutral,Somewhat satisfied
1124,Tuesday,AMERICAN,DEST_124,middle east,Hub     ,Gates 40-48,2018-12-31,433.2,Average,Very safe,Very satisfied
1125,Wednesday,UNITED,DEST_125,West US,    Large,Gates 91-102,2018-12-31,388.7,Dirty,Neutral,Somewhat satisfied
1126,Tuesday,ALASKA,DEST_126,Middle East,    Medium,Gates 91-102,2018-12-31,244.5,Somewhat dirty,Neutral,Very satisfied
1127,Wednesday,ALASKA,DEST_127,Australia/New Zealand,    Medium,Gates 91-102,2018-12-31,464.6,Unacceptable,Neutral,Neutral
1128,Sunday,SOUTHWEST,DEST_128,West US,    Hub,Gates 1-12,2018-12-31,184.0,Unacceptable,Somewhat safe,Very unsatisfied
1129,Saturday,CHINA EASTERN,DEST_129,East US,Small     ,Gates 1-12,2018-12-31,94.3,Clean,Neutral,Neutral
1130,Tuesday,JETBLUE,DEST_130,eur,    Medium,Gates 70-90,2018-12-31,413.6,Somewhat clean,Very unsafe,Neutral
1131,Monday,SOUTHWEST,DEST_131,EAST US,    Hub,Gates 40-48,2018-12-31,150.0,Somewhat clean,Very safe,Very unsatisfied
1132,Friday,UNITED,DEST_132,middle east,Small,Gates 70-90,2018-12-31,231.4,Somewhat dirty,Neutral,Somewhat unsatisfied
1133,Friday,UNITED,DEST_133,eur,    Large,Gates 91-102,2018-12-31,195.9,Somewhat clean,Very unsafe,Very unsatisfied
1134,Wednesday,DELTA,DEST_134,Middle East,    Large,Gates 70-90,2018-12-31,471.2,Somewhat dirty,Very safe,Neutral
1135,Monday,JETBLUE,DEST_135,EAST US,    Large,Gates 1-12,2018-12-31,294.7,Average,Very unsafe,Very unsatisfied
1136,Thursday,JETBLUE,DEST_136,Central/South America,    Large,Gates 1-12,2018-12-31,202.3,Somewhat clean,Very safe,Somewhat unsatisfied
1137,Sunday,ALASKA,DEST_137,Europe,Large     ,Gates 1-12,2018-12-31,215.7,Somewhat dirty,Neutral,Very unsatisfied
1138,Saturday,CHINA EASTERN,DEST_138,middle east,Medium,Gates 20-39,2018-12-31,313.0,Dirty,Very unsafe,Very satisfied
1139,Friday,UNITED INTL,DEST_139,Middle East,    Large,Gates 70-90,2018-12-31,57.8,Dirty,Very unsafe,Somewhat satisfied
1140,Friday,DELTA,DEST_140,Midwest US,Large     ,Gates 1-12,2018-12-31,50.0,Average,Neutral,Somewhat unsatisfied
1141,Wednesday,JETBLUE,DEST_141,East US,Large     ,Gates 40-48,2018-12-31,193.6,Dirty,Very unsafe,Very unsatisfied
1142,Tuesday,UNITED INTL,DEST_142,West US,Medium,Gates 20-39,2018-12-31,37.4,Average,Somewhat safe,Somewhat satisfied
1143,Saturday,AMERICAN,DEST_143,Europe,Hub     ,Gates 91-102,2018-12-31,179.2,Unacceptable,Somewhat safe,Very satisfied
1144,Monday,ALASKA,DEST_144,West US,    Large,Gates 70-90,2018-12-31,178.1,Dirty,Neutral,Very unsatisfied
1145,Monday,AMERICAN,DEST_145,Europe,    Medium,Gates 70-90,2018-12-31,48.0,Unacceptable,Very safe,Very unsatisfied
1146,Monday,UNITED,DEST_146,Asia,Large,Gates 50-59,2018-12-31,565.9,Clean,Very unsafe,Very unsatisfied
1147,Tuesday,DELTA,DEST_147,EAST US,    Small,Gates 40-48,2018-12-31,476.5,Somewhat clean,Somewhat safe,Very satisfied
1148,Monday,SOUTHWEST,DEST_148,Middle East,    Medium,Gates 1-12,2018-12-31,275.0,Unacceptable,Neutral,Very satisfied
1149,Thursday,ALASKA,DEST_149,Central/South America,Large,Gates 91-102,2018-12-31,347.2,Unacceptable,Somewhat safe,Very satisfied
1150,Saturday,ALASKA,DEST_150,EAST US,Small     ,Gates 91-102,2018-12-31,314.7,Dirty,Very safe,Neutral
1151,Monday,SOUTHWEST,DEST_151,middle east,Small     ,Gates 1-12,2018-12-31,213.8,Clean,Somewhat safe,Somewhat satisfied
1152,Saturday,JETBLUE,DEST_152,Central/South America,    Small,Gates 91-102,2018-12-31,417.7,Unacceptable,Very unsafe,Somewhat unsatisfied
1153,Friday,UNITED INTL,DEST_153,Australia/New Zealand,Medium,Gates 40-48,2018-12-31,432.3,Unacceptable,Somewhat safe,Very satisfied
1154,Tuesday,SOUTHWEST,DEST_154,Central/South America,Medium     ,Gates 70-90,2018-12-31,240.0,Unacceptable,Somewhat unsafe,Very unsatisfied
1155,Monday,UNITED,DEST_155,West US,Hub,Gates 91-102,2018-12-31,44.0,Somewhat clean,Neutral,Very unsatisfied
1156,Monday,CHINA EASTERN,DEST_156,middle east,Large     ,Gates 20-39,2018-12-31,564.4,Somewhat clean,Very unsafe,Somewhat satisfied
1157,Friday,SOUTHWEST,DEST_157,Asia,Hub     ,Gates 1-12,2018-12-31,576.0,Somewhat dirty,Somewhat unsafe,Very unsatisfied
1158,Monday,UNITED,DEST_158,Middle East,Small     ,Gates 20-39,2018-12-31,238.9,Average,Neutral,Neutral
1159,Saturday,ALASKA,DEST_159,EAST US,Medium,Gates 50-59,2018-12-31,347.8,Somewhat dirty,Somewhat unsafe,Neutral
1160,Friday,UNITED,DEST_160,West US,Small,Gates 70-90,2018-12-31,124.5,Unacceptable,Neutral,Very satisfied
1161,Wednesday,JETBLUE,DEST_161,Asia,Medium     ,Gates 20-39,2018-12-31,547.4,Somewhat clean,Somewhat unsafe,Somewhat satisfied
1162,Monday,AMERICAN,DEST_162,Canada/Mexico,    Small,Gates 70-90,2018-12-31,557.3,Dirty,Very safe,Somewhat satisfied
1163,Sunday,SOUTHWEST,DEST_163,East US,Hub     ,Gates 91-102,2018-12-31,263.4,Unacceptable,Somewhat unsafe,Very unsatisfied
1164,Monday,CHINA EASTERN,DEST_164,EAST US,    Large,Gates 1-12,2018-12-31,473.9,Somewhat dirty,Neutral,Very unsatisfied
1165,Monday,DELTA,DEST_165,Europe,    Medium,Gates 70-90,2018-12-31,244.1,Average,Neutral,Neutral
1166,Tuesday,DELTA,DEST_166,Midwest US,Large,Gates 40-48,2018-12-31,141.1,Dirty,Very unsafe,Somewhat unsatisfied
1167,Monday,DELTA,DEST_167,EAST US,Small     ,Gates 91-102,2018-12-31,314.5,Clean,Neutral,Very unsatisfied
1168,Saturday,SOUTHWEST,DEST_168,Midwest US,    Medium,Gates 91-102,2018-12-31,108.1,Average,Somewhat safe,Neutral
1169,Friday,DELTA,DEST_169,Central/South America,Large     ,Gates 50-59,2018-12-31,113.0,Unacceptable,Very unsafe,Somewhat unsatisfied
1170,Sunday,UNITED,DEST_170,Australia/New Zealand,Large,Gates 20-39,2018-12-31,544.3,Clean,Very unsafe,Very satisfied
1171,Thursday,SOUTHWEST,DEST_171,Asia,Hub     ,Gates 70-90,2018-12-31,365.9,Somewhat dirty,Neutral,Somewhat unsatisfied
1172,Saturday,DELTA,DEST_172,Asia,    Large,Gates 70-90,2018-12-31,300.5,Unacceptable,Somewhat safe,Somewhat satisfied
1173,Tuesday,JETBLUE,DEST_173,East US,Hub     ,Gates 20-39,2018-12-31,560.6,Clean,Somewhat unsafe,Somewhat satisfied
1174,Friday,DELTA,DEST_174,Canada/Mexico,    Small,Gates 40-48,2018-12-31,138.5,Somewhat dirty,Somewhat safe,Very unsatisfied
1175,Friday,AMERICAN,DEST_175,Canada/Mexico,Small     ,Gates 1-12,2018-12-31,307.7,Unacceptable,Very unsafe,Very satisfied
1176,Tuesday,AMERICAN,DEST_176,Europe,Hub     ,Gates 40-48,2018-12-31,334.3,Somewhat dirty,Very safe,Very unsatisfied
1177,Thursday,ALASKA,DEST_177,East US,Large,Gates 91-102,2018-12-31,81.9,Somewhat clean,Somewhat safe,Very unsatisfied
1178,Sunday,UNITED,DEST_178,EAST US,Medium     ,Gates 50-59,2018-12-31,42.3,Somewhat dirty,Very unsafe,Very satisfied
1179,Monday,JETBLUE,DEST_179,middle east,Large,Gates 50-59,2018-12-31,148.3,Unacceptable,Somewhat unsafe,Very unsatisfied
1180,Wednesday,JETBLUE,DEST_180,Central/South America,    Hub,Gates 50-59,2018-12-31,544.9,Somewhat clean,Somewhat safe,Neutral
1181,Saturday,UNITED,DEST_181,West US,Hub     ,Gates 70-90,2018-12-31,87.6,Somewhat clean,Somewhat unsafe,Somewhat satisfied
1182,Sunday,UNITED,DEST_182,Europe,    Medium,Gates 20-39,2018-12-31,77.0,Average,Very safe,Very satisfied
1183,Thursday,UNITED INTL,DEST_183,eur,Small,Gates 91-102,2018-12-31,258.7,Unacceptable,Neutral,Somewhat unsatisfied
1184,Sunday,UNITED,DEST_184,eur,Medium,Gates 91-102,2018-12-31,454.5,Somewhat clean,Neutral,Neutral
1185,Friday,UNITED,DEST_185,East US,Small,Gates 40-48,2018-12-31,385.6,Somewhat clean,Very unsafe,Neutral
1186,Friday,UNITED,DEST_186,Central/South America,    Hub,Gates 1-12,2018-12-31,62.7,Dirty,Very safe,Somewhat satisfied
1187,Sunday,AMERICAN,DEST_187,middle east,    Medium,Gates 91-102,2018-12-31,459.7,Dirty,Neutral,Somewhat satisfied
1188,Sunday,SOUTHWEST,DEST_188,East US,Small,Gates 50-59,2018-12-31,75.0,Somewhat dirty,Very unsafe,Somewhat satisfied
1189,Sunday,UNITED,DEST_189,Midwest US,Medium,Gates 1-12,2018-12-31,133.2,Clean,Very unsafe,Very satisfied
1190,Wednesday,SOUTHWEST,DEST_190,Asia,Large     ,Gates 70-90,2018-12-31,447.1,Somewhat clean,Very unsafe,Very satisfied
1191,Monday,ALASKA,DEST_191,West US,    Large,Gates 50-59,2018-12-31,180.2,Unacceptable,Neutral,Somewhat unsatisfied
1192,Wednesday,CHINA EASTERN,DEST_192,Canada/Mexico,Small,Gates 40-48,2018-12-31,81.8,Somewhat dirty,Somewhat unsafe,Somewhat unsatisfied
1193,Wednesday,ALASKA,DEST_193,Central/South America,Small,Gates 1-12,2018-12-31,138.5,Unacceptable,Very unsafe,Neutral
1194,Tuesday,ALASKA,DEST_194,Midwest US,Hub     ,Gates 20-39,2018-12-31,295.8,Unacceptable,Very unsafe,Very unsatisfied
